Sable de luz de Anakin Skywalker;Réplica exacta del sable de luz utilizado por Anakin Skywalker. Incluye sonidos y efectos de luz.;Juguetes;25;1500.0;2000.0
Casco de Boba Fett;Réplica del icónico casco de Boba Fett, con detalles precisos y visor ajustable.;Coleccionables;0;800.0;
Traje de Stormtrooper;Traje completo de Stormtrooper, hecho a medida y con detalles precisos. Incluye casco, armadura, guantes y botas.;Ropa y disfraces;40;3000.0;5000.0
Lego Millenium Falcon;Juego de construcción de la famosa nave de Han Solo. Incluye miniaturas de los personajes de la película.;;33;200.0;300.0
Estrella de la muerte en Lego;Juego de construcción de la Estrella de la Muerte, con detalles precisos y miniaturas de naves y personajes de la película.;Juguetes;0;300.0;
Halcón Milenario de control remoto;Réplica a escala del Halcón Milenario, con control remoto y efectos de luz y sonido.;Juguetes;20;1200.0;1500.0
Figura de acción de Darth Vader;Figura de acción de alta calidad de Darth Vader, con detalles precisos y accesorios intercambiables.;Juguetes;50;50.0;100.0
X-wing de Luke Skywalker;Modelo a escala del X-wing utilizado por Luke Skywalker, con detalles precisos y efectos de luz y sonido.;Juguetes;50;250.0;500.0
Libro de arte de Star Wars;Libro de arte de la saga de Star Wars, con ilustraciones y bocetos de personajes, naves y escenarios de la película.;Coleccionables;0;60.0;
Poster de Star Wars;Poster a todo color de la saga de Star Wars, con diseños originales y detalles precisos.;Libros y revistas;0;20.0;
Casco de Darth Vader;Réplica del icónico casco de Darth Vader, con detalles precisos y sistema de voz y respiración integrado.;Decoracion;0;600.0;
Nave de Kylo Ren en Lego;Juego de construcción de la nave de Kylo Ren, con detalles precisos y miniaturas de personajes de la película.;Coleccionables;56;150.0;347.0
Taza de R2-D2;Taza de cerámica con diseño de R2-D2 y detalles precisos. Ideal para los fans de la saga.;;57;15.0;35.0
Guantes de Darth Vader;Réplica de los guantes utilizados por Darth Vader, con detalles precisos y fabricados con materiales de alta calidad.;Cocina y hogar;0;100.0;
Funko Pop de Yoda;Figura de vinilo de Yoda, de la línea Funko Pop, con diseño caricaturesco y detalles precisos.;Ropa y disfraces;33;10.0;15.0
Poster de Darth Vader;Poster a todo color de Darth Vader, con diseños originales y detalles precisos.;;42;20.0;35.0
Nave Slave I de Boba Fett;Modelo a escala de la nave Slave I, utilizada por Boba Fett, con detalles precisos y miniaturas de personajes de la película.;;20;400.0;500.0
